"","cap.shape","cap.surface","cap.color","bruises.","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.","stalk.surface.below.","stalk.color.above.ri","stalk.color.below.ri","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat","classe","echantillon"
"2","f","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"4","f","f","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p","p","base"
"5","b","f","w","f","n","f","w","b","g","e","?","s","k","w","w","p","w","t","p","w","n","g","e","base"
"8","x","y","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d","e","base"
"9","x","y","e","f","f","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l","p","base"
"10","b","f","w","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","n","g","e","base"
"11","x","y","n","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p","p","base"
"12","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"13","k","s","n","f","y","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p","p","base"
"14","x","y","e","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p","p","base"
"15","f","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","g","p","base"
"16","x","s","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"19","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g","e","base"
"20","x","s","w","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","s","u","p","base"
"21","f","s","n","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p","e","base"
"22","f","s","e","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p","p","base"
"24","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"25","x","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"26","x","s","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d","p","base"
"27","k","s","n","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","d","p","base"
"30","k","s","e","t","n","f","c","b","e","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"31","f","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p","p","base"
"34","f","y","n","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l","p","base"
